from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
ritual:fast,ritual_prescribed_on,tithi:Ekadashi,source:a80ecfcbf09c,"page 238, lines 966-968","237 
    Nilapataka is intense Goddess of eleventh lunar day, which is associated in Bhavishya Purana with eleven rudras, fierce forms of Shiva – God of ascetics, yogis, moksha, destruction and transformation. Similarly, the energy of Goddess Nilapataka is very intense and Her presence extremely powerful. Ekadashi tithi, co-ruled by Mars and fire element, is a very transformative combination. Its intense heat was since ages harnessed by yogis for spiritual purposes: to fast, focus on meditation and purify the mind and the body from all the poisons.    Ekadashi tithi and the deep, blue hue of Goddess Nilapataka, stand for the deep sleep state of consciousness, within all the four lunar days connected to the deep sleep state. On Ekadashi tithi, our mind is the most absent and is connected with its deepest nature. Now, depending on, all the “monsters” and “poisons” that we are growing in ou",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Dvadashi,source:a80ecfcbf09c,"page 257, lines 1043-1045","256 
    Vijaya Devi is a victorious Goddess of twelfth lunar day. After the inner battle happening within us on Ekadashi tithi, Vijaya Devi brings us victory and success on Dvadashi. Whenever we fast or pray intensely with some intention on Ekadashi tithi, it is Dvadashi tithi, on which we are going to see the results of our prayers. In Krishna paksha the Sun and the Moon would form a golden angle in one moment of Dvadashi tithi (360:222.5), as well as they would be 42 degrees apart, which is in nature necessary to form a rainbow – known in mythology as a bridge between heaven and earth.  On Dvadashi tithi consciousness experiences turiya state within the deep sleep state. This is why a deep feeling of peace can be often experienced on this lunar day. In Shukla paksha the Sun and the Moon would form minor sixth or major sixth music interval (dhaivata or “the Divine one” ruled by Jupiter",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Trayodashi,source:a80ecfcbf09c,"page 272, lines 1104-1106","271 
sixth into minor seventh (nishadha in Indian raga, ruled by Venus), while in Krishna paksha it descends from major second to minor second (rishabha in Indian raga, ruled by Mars). In both pakshas there is a musical tension between Sun and Moon, which is yearning to be resolved. Sometimes it will manifest as increased desire or passion, and sometimes as aggression or nervousness.  As element of ether is also connected to fast exchange of energy, while Jupiter himself is connected with our family and partnership, our libido is also empowered on Trayodashi tithi - which is why it is also a very good day for love exchange. According to some scriptures Trayodashi tithi is presided by Kamadeva, god of human love and desire. Goddess Sarvamangala is also connected to priti or love, thirteenth kala of the Moon. She inspires us towards more mature, forgiving and compassionate relationships. S",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Ekadashi,source:b782768d31bb,"page 238, lines 965-968","237 
    Nilapataka is intense Goddess of eleventh lunar day, which is associated in Bhavishya Purana with eleven rudras, fierce forms of Shiva – God of ascetics, yogis, moksha, destruction and transformation. Similarly, the energy of Goddess Nilapataka is very intense and Her presence extremely powerful. Ekadashi tithi, co-ruled by Mars and fire element, is a very transformative combination. Its intense heat was since ages harnessed by yogis for spiritual purposes: to fast, focus on meditation and purify the mind and the body from all the poisons.    Ekadashi tithi and the deep, blue hue of Goddess Nilapataka, stand for the deep sleep state of consciousness, within all the four lunar days connected to the deep sleep state. On Ekadashi tithi, our mind is the most absent and is connected with its deepest nature. Now, depending on, all the “monsters” and “poisons” that we are growing in ou",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Dvadashi,source:b782768d31bb,"page 257, lines 1042-1045","256 
    Vijaya Devi is a victorious Goddess of twelfth lunar day. After the inner battle happening within us on Ekadashi tithi, Vijaya Devi brings us victory and success on Dvadashi. Whenever we fast or pray intensely with some intention on Ekadashi tithi, it is Dvadashi tithi, on which we are going to see the results of our prayers. In Krishna paksha the Sun and the Moon would form a golden angle in one moment of Dvadashi tithi (360:222.5), as well as they would be 42 degrees apart, which is in nature necessary to form a rainbow – known in mythology as a bridge between heaven and earth.  On Dvadashi tithi consciousness experiences turiya state within the deep sleep state. This is why a deep feeling of peace can be often experienced on this lunar day. In Shukla paksha the Sun and the Moon would form minor sixth or major sixth music interval (dhaivata or “the Divine one” ruled by Jupiter",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Trayodashi,source:b782768d31bb,"page 272, lines 1103-1106","271 
sixth into minor seventh (nishadha in Indian raga, ruled by Venus), while in Krishna paksha it descends from major second to minor second (rishabha in Indian raga, ruled by Mars). In both pakshas there is a musical tension between Sun and Moon, which is yearning to be resolved. Sometimes it will manifest as increased desire or passion, and sometimes as aggression or nervousness.  As element of ether is also connected to fast exchange of energy, while Jupiter himself is connected with our family and partnership, our libido is also empowered on Trayodashi tithi - which is why it is also a very good day for love exchange. According to some scriptures Trayodashi tithi is presided by Kamadeva, god of human love and desire. Goddess Sarvamangala is also connected to priti or love, thirteenth kala of the Moon. She inspires us towards more mature, forgiving and compassionate relationships. S",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Navami,source:efa2f6dabfe6,"page 1, lines 26-49","Major pentatonic
Teentaal (16), Jhaptal (10)
3
5 Pancami
Desh, Kalyan variants
Mixolydian / Lydian-ish
Teentaal (16), Fast Keharwa
3
6 Sasti
Durga, Kedar
Major pentatonic / suspended major
Teentaal (16)
4
7 Saptami
Kalyan family, Desh
Lydian-ish / Mixolydian
Teentaal (16), Ektal (12)
4
8 Astami
Jog, Desh
Dorian / Mixolydian drive
Teentaal (16)
4
9 Navami",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Ekadashi,source:bf1a7da0be22,"page 238, lines 965-968","237 
    Nilapataka is intense Goddess of eleventh lunar day, which is associated in Bhavishya Purana with eleven rudras, fierce forms of Shiva – God of ascetics, yogis, moksha, destruction and transformation. Similarly, the energy of Goddess Nilapataka is very intense and Her presence extremely powerful. Ekadashi tithi, co-ruled by Mars and fire element, is a very transformative combination. Its intense heat was since ages harnessed by yogis for spiritual purposes: to fast, focus on meditation and purify the mind and the body from all the poisons.    Ekadashi tithi and the deep, blue hue of Goddess Nilapataka, stand for the deep sleep state of consciousness, within all the four lunar days connected to the deep sleep state. On Ekadashi tithi, our mind is the most absent and is connected with its deepest nature. Now, depending on, all the “monsters” and “poisons” that we are growing in ou",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Dvadashi,source:bf1a7da0be22,"page 257, lines 1042-1045","256 
    Vijaya Devi is a victorious Goddess of twelfth lunar day. After the inner battle happening within us on Ekadashi tithi, Vijaya Devi brings us victory and success on Dvadashi. Whenever we fast or pray intensely with some intention on Ekadashi tithi, it is Dvadashi tithi, on which we are going to see the results of our prayers. In Krishna paksha the Sun and the Moon would form a golden angle in one moment of Dvadashi tithi (360:222.5), as well as they would be 42 degrees apart, which is in nature necessary to form a rainbow – known in mythology as a bridge between heaven and earth.  On Dvadashi tithi consciousness experiences turiya state within the deep sleep state. This is why a deep feeling of peace can be often experienced on this lunar day. In Shukla paksha the Sun and the Moon would form minor sixth or major sixth music interval (dhaivata or “the Divine one” ruled by Jupiter",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
ritual:fast,ritual_prescribed_on,tithi:Trayodashi,source:bf1a7da0be22,"page 272, lines 1103-1106","271 
sixth into minor seventh (nishadha in Indian raga, ruled by Venus), while in Krishna paksha it descends from major second to minor second (rishabha in Indian raga, ruled by Mars). In both pakshas there is a musical tension between Sun and Moon, which is yearning to be resolved. Sometimes it will manifest as increased desire or passion, and sometimes as aggression or nervousness.  As element of ether is also connected to fast exchange of energy, while Jupiter himself is connected with our family and partnership, our libido is also empowered on Trayodashi tithi - which is why it is also a very good day for love exchange. According to some scriptures Trayodashi tithi is presided by Kamadeva, god of human love and desire. Goddess Sarvamangala is also connected to priti or love, thirteenth kala of the Moon. She inspires us towards more mature, forgiving and compassionate relationships. S",unknown,seed_unverified,AUTO-SEED: Journey-with-the-Moon dossier
