nakshatra,graha,deity,symbol,shakti,guna,element,themes
Ashwini,Ketu,Ashwini Kumaras,Horse Head,Healing,Sattva,Fire,quick action healing beginnings
Bharani,Venus,Yama,Womb,Transformation,Rajas,Earth,birth death rebirth endurance
Krittika,Sun,Agni,Blade,Purification,Sattva,Fire,cutting illusion purification intensity
Rohini,Moon,Brahma,Chariot,Growth,Rajas,Earth,fertility beauty nourishment creation
Mrigashira,Mars,Soma,Deer Head,Searching,Tamas,Air,curiosity wandering seeking knowledge
Ardra,Rahu,Rudra,Teardrop,Renewal,Tamas,Water,storm destruction renewal emotional intensity
Punarvasu,Jupiter,Aditi,Bow,Restoration,Sattva,Air,return renewal protection nurturing
Pushya,Saturn,Brihaspati,Cow Udder,Nourishment,Sattva,Water,support nourishment teaching devotion
Ashlesha,Mercury,Nagas,Serpent,Entwining,Tamas,Water,coiling secrecy hypnotic intelligence
Magha,Ketu,Pitris,Throne,Authority,Tamas,Fire,ancestors heritage power leadership
Purva Phalguni,Venus,Bhaga,Hammock,Enjoyment,Rajas,Fire,pleasure love creativity relaxation
Uttara Phalguni,Sun,Aryaman,Bed,Patronage,Rajas,Earth,contracts friendship alliances stability
Hasta,Moon,Savitar,Hand,Manifestation,Sattva,Earth,skill craft dexterity manifestation
Chitra,Mars,Tvashtar,Jewel,Creation,Tamas,Fire,beauty architecture design brilliance
Swati,Rahu,Vayu,Coral,Independence,Tamas,Air,freedom wandering scattering exploration
Vishakha,Jupiter,Indra-Agni,Triumphal Arch,Achievement,Rajas,Fire,determination goals ambition
Anuradha,Saturn,Mitra,Lotus,Devotion,Sattva,Water,friendship loyalty devotion cooperation
Jyeshtha,Mercury,Indra,Earring,Leadership,Tamas,Water,authority responsibility protection
Mula,Ketu,Nirriti,Roots,Destruction,Tamas,Earth,roots destruction transformation investigation
Purva Ashadha,Venus,Apas,Elephant Tusk,Invigoration,Rajas,Water,enthusiasm declaration courage
Uttara Ashadha,Sun,Vishvadevas,Plank,Victory,Sattva,Earth,enduring success leadership ethics
Shravana,Moon,Vishnu,Ear,Listening,Sattva,Air,learning listening sacred knowledge
Dhanishta,Mars,Vasus,Drum,Fame,Tamas,Air,rhythm music prosperity community
Shatabhisha,Rahu,Varuna,Empty Circle,Healing,Tamas,Air,mystery healing secrecy research
Purva Bhadrapada,Jupiter,Aja Ekapada,Funeral Cot,Spiritual Fire,Rajas,Fire,intensity transformation asceticism
Uttara Bhadrapada,Saturn,Ahirbudhnya,Twin Serpents,Stability,Sattva,Water,depth patience wisdom endurance
Revati,Mercury,Pushan,Fish,Prosperity,Sattva,Water,protection guidance nourishment travel
