nakshatra,deity,ruling_graha,tree,plant,gemstone,shakti,direction,varna,nadi
Ashwini,Ashwini Kumaras,Ketu,Kuchila,Arka,Cat's Eye,Healing Power,East,Kshatriya,Madhya
Bharani,Yama,Venus,Amla,Aloe Vera,Diamond,Power of Restraint,South,Brahmana,Antya
Krittika,Agni,Sun,Udumbara,Ginger,Ruby,Power to Burn Impurity,East,Brahmana,Madhya
Rohini,Prajapati,Moon,Jamun,Lotus,Pearl,Power of Growth,East,Vaishya,Adi
Mrigashira,Soma,Mars,Khair,Jasmine,Coral,Power of Fulfillment,North,Vaishya,Madhya
Ardra,Rudra,Rahu,Neem,Mint,Hessonite,Power of Effort,North,Kshatriya,Antya
Punarvasu,Aditi,Jupiter,Bamboo,Tulsi,Yellow Sapphire,Power of Renewal,East,Brahmana,Adi
Pushya,Brihaspati,Saturn,Peepal,Basil,Blue Sapphire,Nourishing Power,North,Brahmana,Madhya
Ashlesha,Nagas,Mercury,Nagakesar,Snake Root,Emerald,Power to Entwine,South,Brahmana,Antya
Magha,Pitris,Ketu,Banyan,Bilva,Cat's Eye,Power of Ancestry,South,Kshatriya,Madhya
Purva Phalguni,Bhaga,Venus,Palash,Rose,Diamond,Power of Enjoyment,East,Vaishya,Antya
Uttara Phalguni,Aryaman,Sun,Fig,Ashwagandha,Ruby,Power of Partnership,North,Vaishya,Adi
Hasta,Savitar,Moon,Jasmine,Banana,Pearl,Power of Manifestation,East,Brahmana,Madhya
Chitra,Tvashtar,Mars,Bel,Brahmi,Coral,Power of Creation,West,Kshatriya,Antya
Swati,Vayu,Rahu,Arjuna,Cardamom,Hessonite,Power of Independence,West,Vaishya,Adi
Vishakha,Indra-Agni,Jupiter,Sandalwood,Turmeric,Yellow Sapphire,Power of Achievement,South,Kshatriya,Madhya
Anuradha,Mitra,Saturn,Lotus,Lotus Root,Blue Sapphire,Power of Devotion,West,Brahmana,Antya
Jyeshtha,Indra,Mercury,Nemali,Clove,Emerald,Power of Seniority,South,Kshatriya,Adi
Mula,Nirriti,Ketu,Sal,Long Pepper,Cat's Eye,Power of Destruction,South,Rakshasa,Madhya
Purva Ashadha,Apas,Venus,Coconut,Water Lily,Diamond,Power of Invigoration,East,Brahmana,Antya
Uttara Ashadha,Vishvadevas,Sun,Jackfruit,Plantain,Ruby,Power of Victory,North,Kshatriya,Adi
Shravana,Vishnu,Moon,Arjuna,Black Sesame,Pearl,Power of Listening,North,Vaishya,Madhya
Dhanishta,Vasus,Mars,Shami,Drumstick,Coral,Power of Rhythm,West,Kshatriya,Antya
Shatabhisha,Varuna,Rahu,Kadamba,Bael,Hessonite,Power of Healing,West,Brahmana,Adi
Purva Bhadrapada,Aja Ekapada,Jupiter,Mango,Neem,Yellow Sapphire,Power of Transformation,South,Brahmana,Madhya
Uttara Bhadrapada,Ahir Budhnya,Saturn,Neem,Lotus,Blue Sapphire,Power of Depth,North,Kshatriya,Antya
Revati,Pushan,Mercury,Fig,Fennel,Emerald,Power of Nourishment,East,Brahmana,Adi
